city,latitude,longitude,weather_main,weather_description,temperature,wind_speed,feels_like_day,pressure,humidity,prob_rain,uvi,clouds
aigues mortes,43.5658225,4.1912837,Rain,light rain,26.972857142857144,6.1814285714285715,26.954285714285714,1015.2857142857143,48.142857142857146,0.18571428571428572,8.747142857142858,34.285714285714285
aix en provence,43.5298424,5.4474738,Clear,clear sky,29.572857142857142,5.76,28.560000000000002,1014.4285714285714,32.142857142857146,0.08714285714285715,8.678571428571429,26.428571428571427
amiens,49.8941708,2.2956951,Clouds,scattered clouds,22.104285714285712,6.461428571428571,21.485714285714288,1014.8571428571429,44.857142857142854,0.2714285714285714,5.562857142857142,54.57142857142857
annecy,45.8992348,6.1288847,Rain,light rain,24.145714285714284,2.0685714285714285,24.027142857142856,1016.8571428571429,51.57142857142857,0.44571428571428573,7.801428571428572,50.57142857142857
ariege,42.9455368,1.4065544156065486,Rain,light rain,17.94,2.6671428571428573,17.52857142857143,1018.5714285714286,66.57142857142857,0.5700000000000001,4.88,70.42857142857143
avignon,43.9492493,4.8059012,Clear,clear sky,30.28142857142857,6.9399999999999995,29.187142857142856,1014.7142857142857,31.142857142857142,0.13285714285714284,8.66,25.142857142857142
bayeux,49.2764624,-0.7024738,Rain,light rain,22.068571428571428,7.047142857142857,21.55142857142857,1015.1428571428571,45.714285714285715,0.4385714285714286,6.7,63.714285714285715
bayonne,43.4945144,-1.4736657,Rain,broken clouds,22.759999999999998,4.307142857142857,22.90857142857143,1018.7142857142857,67.42857142857143,0.5,7.747142857142857,62.285714285714285
besancon,47.2380222,6.0243622,Clouds,broken clouds,23.262857142857143,4.0600000000000005,22.851428571428574,1017.0,53.285714285714285,0.33571428571428574,6.872857142857143,52.142857142857146
biarritz,43.471143749999996,-1.552726590666314,Rain,light rain,22.06,4.238571428571428,22.205714285714286,1018.7142857142857,69.14285714285714,0.48999999999999994,8.465714285714286,61.285714285714285
bormes les mimosas,43.1506968,6.3419285,Clear,clear sky,27.064285714285713,5.991428571428571,27.427142857142858,1014.4285714285714,54.714285714285715,0.06285714285714286,8.90857142857143,17.142857142857142
carcassonne,43.2130358,2.3491069,Clouds,light rain,27.277142857142856,5.927142857142856,26.87857142857143,1017.2857142857143,44.42857142857143,0.3528571428571428,8.5,46.857142857142854
cassis,43.2140359,5.5396318,Clear,clear sky,27.201428571428572,7.271428571428571,27.3,1014.5714285714286,51.857142857142854,0.0842857142857143,8.842857142857143,21.285714285714285
chateau du haut koenigsbourg,48.249489800000006,7.34429620253195,Rain,light rain,21.988571428571426,4.385714285714285,21.207142857142856,1015.8571428571429,40.42857142857143,0.3685714285714286,7.032857142857144,50.42857142857143
collioure,42.52505,3.0831554,Clouds,light rain,26.802857142857142,5.228571428571429,27.27,1016.4285714285714,53.857142857142854,0.41571428571428565,8.845714285714285,42.142857142857146
colmar,48.0777517,7.3579641,Rain,clear sky,25.495714285714286,4.598571428571428,24.867142857142856,1015.8571428571429,38.42857142857143,0.32571428571428573,7.032857142857144,45.142857142857146
dijon,47.3215806,5.0414701,Clouds,broken clouds,24.358571428571427,5.142857142857143,23.707142857142856,1016.5714285714286,42.714285714285715,0.2785714285714286,7.461428571428571,49.0
eguisheim,48.0447968,7.3079618,Rain,clear sky,25.34,4.4557142857142855,24.72142857142857,1015.8571428571429,39.0,0.32285714285714284,7.032857142857144,43.714285714285715
gorges du verdon,43.7496562,6.3285616,Clear,clear sky,25.487142857142857,3.5942857142857143,25.225714285714286,1014.8571428571429,39.57142857142857,0.10285714285714286,8.887142857142857,20.571428571428573
grenoble,45.1875602,5.7357819,Clear,clear sky,26.518571428571427,2.565714285714286,26.398571428571426,1016.5714285714286,50.42857142857143,0.35000000000000003,7.885714285714286,43.0
la rochelle,46.1591126,-1.1520434,Rain,light rain,20.835714285714285,6.185714285714285,20.634285714285713,1018.2857142857143,63.57142857142857,0.39714285714285713,7.5042857142857144,48.42857142857143
le havre,49.4938975,0.1079732,Rain,light rain,19.295714285714286,6.902857142857143,18.86428571428571,1015.5714285714286,60.57142857142857,0.39714285714285713,7.3100000000000005,49.0
lille,50.6365654,3.0635282,Clouds,light rain,22.075714285714287,6.568571428571429,21.361428571428572,1014.4285714285714,44.142857142857146,0.2671428571428572,6.425714285714286,55.285714285714285
lyon,45.7578137,4.8320114,Rain,light rain,25.72,3.3000000000000003,25.372857142857146,1016.7142857142857,44.142857142857146,0.3385714285714286,7.452857142857143,43.0
marseille,43.2961743,5.3699525,Clear,clear sky,26.937142857142856,7.087142857142857,27.060000000000002,1014.7142857142857,51.57142857142857,0.08857142857142856,8.765714285714285,22.0
mont saint michel,48.6359541,-1.511459954959514,Rain,light rain,20.695714285714285,6.284285714285715,20.271428571428572,1016.4285714285714,55.57142857142857,0.4685714285714286,7.158571428571428,58.285714285714285
montauban,44.0175835,1.3549991,Clouds,broken clouds,23.981428571428573,5.089999999999999,23.842857142857145,1018.1428571428571,56.714285714285715,0.42428571428571427,7.8,59.0
nimes,43.8374249,4.3600687,Rain,light rain,30.64428571428571,5.75,29.357142857142858,1014.7142857142857,29.285714285714285,0.18857142857142856,8.747142857142858,29.0
paris,48.8534951,2.3483915,Clouds,broken clouds,24.09142857142857,4.692857142857143,23.454285714285714,1015.7142857142857,35.57142857142857,0.1842857142857143,7.221428571428571,41.714285714285715
rouen,49.4404591,1.0939658,Rain,light rain,22.195714285714285,6.557142857142857,21.704285714285714,1015.4285714285714,44.857142857142854,0.3442857142857143,6.45,49.714285714285715
saint malo,48.649518,-2.0260409,Rain,light rain,19.687142857142856,6.887142857142857,19.274285714285718,1016.2857142857143,59.857142857142854,0.43714285714285717,6.761428571428572,61.42857142857143
saintes maries de la mer,43.4522771,4.4287172,Clear,clear sky,25.824285714285715,6.562857142857143,25.859999999999996,1015.2857142857143,54.857142857142854,0.1357142857142857,8.768571428571429,35.142857142857146
strasbourg,48.584614,7.7507127,Rain,clear sky,25.84,5.238571428571428,25.071428571428573,1015.2857142857143,35.0,0.38,6.617142857142857,53.285714285714285
toulouse,43.6044622,1.4442469,Rain,light rain,24.23,4.575714285714286,24.127142857142854,1018.1428571428571,54.714285714285715,0.3814285714285714,8.007142857142856,62.0
uzes,44.0121279,4.4196718,Rain,light rain,29.944285714285716,6.08,28.784285714285716,1015.1428571428571,30.285714285714285,0.25285714285714284,8.884285714285713,26.857142857142858
